subject,theory,explo_overlap,trial,labelled,looking_time
25,CR,0.375,1,no_label,30
25,CR,0.375,1,label,29
25,CR,0.375,2,no_label,28
25,CR,0.375,2,label,26
25,CR,0.375,3,no_label,25
25,CR,0.375,3,label,24
25,CR,0.375,4,no_label,22
25,CR,0.375,4,label,21
25,CR,0.375,5,no_label,20
25,CR,0.375,5,label,18
25,CR,0.375,6,no_label,17
25,CR,0.375,6,label,16
25,CR,0.375,7,no_label,14
25,CR,0.375,7,label,13
26,LaF,0.375,0,label,34
26,LaF,0.375,0,no_label,29
26,LaF,0.375,1,label,28
26,LaF,0.375,1,no_label,26
26,LaF,0.375,2,label,25
26,LaF,0.375,2,no_label,23
26,LaF,0.375,3,label,22
26,LaF,0.375,3,no_label,20
26,LaF,0.375,4,label,20
26,LaF,0.375,4,no_label,18
26,LaF,0.375,5,label,17
26,LaF,0.375,5,no_label,15
26,LaF,0.375,6,label,14
26,LaF,0.375,6,no_label,13
26,LaF,0.375,7,label,12
26,LaF,0.375,7,no_label,10
27,CR,0.375,0,label,34
27,CR,0.375,0,no_label,30
27,CR,0.375,1,label,30
27,CR,0.375,1,no_label,27
27,CR,0.375,2,label,27
27,CR,0.375,2,no_label,24
27,CR,0.375,3,label,24
27,CR,0.375,3,no_label,22
27,CR,0.375,4,label,21
27,CR,0.375,4,no_label,19
27,CR,0.375,5,label,18
27,CR,0.375,5,no_label,16
27,CR,0.375,6,label,16
27,CR,0.375,6,no_label,14
27,CR,0.375,7,label,13
27,CR,0.375,7,no_label,11
28,LaF,0.375,0,no_label,33
28,LaF,0.375,0,label,29
28,LaF,0.375,1,no_label,32
28,LaF,0.375,1,label,27
28,LaF,0.375,2,no_label,29
28,LaF,0.375,2,label,24
28,LaF,0.375,3,no_label,26
28,LaF,0.375,3,label,22
28,LaF,0.375,4,no_label,24
28,LaF,0.375,4,label,19
28,LaF,0.375,5,no_label,21
28,LaF,0.375,5,label,17
28,LaF,0.375,6,no_label,18
28,LaF,0.375,6,label,15
28,LaF,0.375,7,no_label,16
28,LaF,0.375,7,label,13
