subject,model,explo_overlap,trial,labelled,looking_time
23,LaF,0.5,0,label,35
23,LaF,0.5,0,no_label,33
23,LaF,0.5,1,label,31
23,LaF,0.5,1,no_label,32
23,LaF,0.5,2,label,30
23,LaF,0.5,2,no_label,31
23,LaF,0.5,3,label,28
23,LaF,0.5,3,no_label,30
23,LaF,0.5,4,label,27
23,LaF,0.5,4,no_label,29
23,LaF,0.5,5,label,26
23,LaF,0.5,5,no_label,27
23,LaF,0.5,6,label,25
23,LaF,0.5,6,no_label,26
23,LaF,0.5,7,label,24
23,LaF,0.5,7,no_label,25
24,LaF,0.5,0,no_label,36
24,LaF,0.5,0,label,32
24,LaF,0.5,1,no_label,36
24,LaF,0.5,1,label,31
24,LaF,0.5,2,no_label,34
24,LaF,0.5,2,label,29
24,LaF,0.5,3,no_label,33
24,LaF,0.5,3,label,27
24,LaF,0.5,4,no_label,31
24,LaF,0.5,4,label,26
24,LaF,0.5,5,no_label,29
24,LaF,0.5,5,label,24
24,LaF,0.5,6,no_label,27
24,LaF,0.5,6,label,22
24,LaF,0.5,7,no_label,25
24,LaF,0.5,7,label,21
25,LaF,0.625,0,label,33
25,LaF,0.625,0,no_label,32
25,LaF,0.625,1,label,30
25,LaF,0.625,1,no_label,31
25,LaF,0.625,2,label,29
25,LaF,0.625,2,no_label,29
25,LaF,0.625,3,label,27
25,LaF,0.625,3,no_label,28
25,LaF,0.625,4,label,26
25,LaF,0.625,4,no_label,26
25,LaF,0.625,5,label,25
25,LaF,0.625,5,no_label,25
25,LaF,0.625,6,label,23
25,LaF,0.625,6,no_label,24
25,LaF,0.625,7,label,22
25,LaF,0.625,7,no_label,22
26,LaF,0.625,0,no_label,39
26,LaF,0.625,0,label,31
26,LaF,0.625,1,no_label,35
26,LaF,0.625,1,label,29
26,LaF,0.625,2,no_label,34
26,LaF,0.625,2,label,28
26,LaF,0.625,3,no_label,32
26,LaF,0.625,3,label,26
26,LaF,0.625,4,no_label,30
26,LaF,0.625,4,label,25
26,LaF,0.625,5,no_label,28
26,LaF,0.625,5,label,23
26,LaF,0.625,6,no_label,26
26,LaF,0.625,6,label,21
26,LaF,0.625,7,no_label,24
26,LaF,0.625,7,label,20
27,LaF,0.625,0,label,35
27,LaF,0.625,0,no_label,33
27,LaF,0.625,1,label,33
27,LaF,0.625,1,no_label,33
27,LaF,0.625,2,label,32
27,LaF,0.625,2,no_label,32
27,LaF,0.625,3,label,30
27,LaF,0.625,3,no_label,31
27,LaF,0.625,4,label,29
27,LaF,0.625,4,no_label,30
27,LaF,0.625,5,label,27
27,LaF,0.625,5,no_label,28
27,LaF,0.625,6,label,26
27,LaF,0.625,6,no_label,27
27,LaF,0.625,7,label,24
27,LaF,0.625,7,no_label,26
28,LaF,0.625,0,no_label,40
28,LaF,0.625,0,label,34
28,LaF,0.625,1,no_label,38
28,LaF,0.625,1,label,33
28,LaF,0.625,2,no_label,36
28,LaF,0.625,2,label,31
28,LaF,0.625,3,no_label,34
28,LaF,0.625,3,label,29
28,LaF,0.625,4,no_label,32
28,LaF,0.625,4,label,27
28,LaF,0.625,5,no_label,30
28,LaF,0.625,5,label,25
28,LaF,0.625,6,no_label,28
28,LaF,0.625,6,label,24
28,LaF,0.625,7,no_label,26
28,LaF,0.625,7,label,22
29,LaF,0.625,0,label,35
29,LaF,0.625,0,no_label,33
29,LaF,0.625,1,label,34
29,LaF,0.625,1,no_label,32
29,LaF,0.625,2,label,33
29,LaF,0.625,2,no_label,30
29,LaF,0.625,3,label,31
29,LaF,0.625,3,no_label,28
29,LaF,0.625,4,label,29
29,LaF,0.625,4,no_label,26
29,LaF,0.625,5,label,27
29,LaF,0.625,5,no_label,25
29,LaF,0.625,6,label,25
29,LaF,0.625,6,no_label,23
29,LaF,0.625,7,label,24
29,LaF,0.625,7,no_label,21
30,LaF,0.625,0,no_label,39
30,LaF,0.625,0,label,35
30,LaF,0.625,1,no_label,36
30,LaF,0.625,1,label,34
30,LaF,0.625,2,no_label,34
30,LaF,0.625,2,label,33
30,LaF,0.625,3,no_label,32
30,LaF,0.625,3,label,31
30,LaF,0.625,4,no_label,30
30,LaF,0.625,4,label,29
30,LaF,0.625,5,no_label,29
30,LaF,0.625,5,label,28
30,LaF,0.625,6,no_label,27
30,LaF,0.625,6,label,26
30,LaF,0.625,7,no_label,25
30,LaF,0.625,7,label,24
31,LaF,0.625,0,label,42
31,LaF,0.625,0,no_label,34
31,LaF,0.625,1,label,34
31,LaF,0.625,1,no_label,32
31,LaF,0.625,2,label,32
31,LaF,0.625,2,no_label,30
31,LaF,0.625,3,label,30
31,LaF,0.625,3,no_label,28
31,LaF,0.625,4,label,28
31,LaF,0.625,4,no_label,26
31,LaF,0.625,5,label,26
31,LaF,0.625,5,no_label,24
