"subject","theory","step","dist_type","mu"
1,"LaF_treat_missing",0,"r_labelled",1
1,"LaF_treat_missing",0,"r_unlabelled",1
1,"LaF_treat_missing",100,"labelled",0.178937592785518
1,"LaF_treat_missing",100,"unlabelled",0.148041026850059
1,"LaF_treat_missing",100,"between",0.600700438491786
1,"LaF_treat_missing",100,"r_labelled",1
1,"LaF_treat_missing",100,"r_unlabelled",1
1,"LaF_treat_missing",200,"labelled",0.189626828155471
1,"LaF_treat_missing",200,"unlabelled",0.157225175004173
1,"LaF_treat_missing",200,"between",0.764094844510154
1,"LaF_treat_missing",200,"r_labelled",1
1,"LaF_treat_missing",200,"r_unlabelled",1
1,"LaF_treat_missing",300,"labelled",0.191467939322676
1,"LaF_treat_missing",300,"unlabelled",0.167282308401141
1,"LaF_treat_missing",300,"between",0.939746539218798
1,"LaF_treat_missing",300,"r_labelled",1
1,"LaF_treat_missing",300,"r_unlabelled",1
1,"LaF_treat_missing",400,"labelled",0.190091276797301
1,"LaF_treat_missing",400,"unlabelled",0.176129476531554
1,"LaF_treat_missing",400,"between",1.09670794604526
1,"LaF_treat_missing",400,"r_labelled",1
1,"LaF_treat_missing",400,"r_unlabelled",1
1,"LaF_treat_missing",500,"labelled",0.187943982935935
1,"LaF_treat_missing",500,"unlabelled",0.182828919230907
1,"LaF_treat_missing",500,"between",1.22441983737055
1,"LaF_treat_missing",500,"r_labelled",1
1,"LaF_treat_missing",500,"r_unlabelled",1
1,"LaF_treat_missing",600,"labelled",0.185549908711144
1,"LaF_treat_missing",600,"unlabelled",0.188297550168067
1,"LaF_treat_missing",600,"between",1.32370370488681
1,"LaF_treat_missing",600,"r_labelled",1
1,"LaF_treat_missing",600,"r_unlabelled",1
1,"LaF_treat_missing",700,"labelled",0.183380759810641
1,"LaF_treat_missing",700,"unlabelled",0.193229891589774
1,"LaF_treat_missing",700,"between",1.39856276786257
1,"LaF_treat_missing",700,"r_labelled",1
1,"LaF_treat_missing",700,"r_unlabelled",1
1,"LaF_treat_missing",800,"labelled",0.181903338619153
1,"LaF_treat_missing",800,"unlabelled",0.197878677306754
1,"LaF_treat_missing",800,"between",1.45329734978057
1,"LaF_treat_missing",800,"r_labelled",1
1,"LaF_treat_missing",800,"r_unlabelled",1
1,"LaF_treat_missing",900,"labelled",0.181367262904934
1,"LaF_treat_missing",900,"unlabelled",0.202308633442305
1,"LaF_treat_missing",900,"between",1.49221787941697
1,"LaF_treat_missing",900,"r_labelled",1
1,"LaF_treat_missing",900,"r_unlabelled",1
1,"LaF_treat_missing",1000,"labelled",0.181738079247062
1,"LaF_treat_missing",1000,"unlabelled",0.206550827551878
1,"LaF_treat_missing",1000,"between",1.51929941531971
1,"LaF_treat_missing",1000,"r_labelled",1
1,"LaF_treat_missing",1000,"r_unlabelled",1
1,"LaF_treat_missing",1100,"labelled",0.182839172562529
1,"LaF_treat_missing",1100,"unlabelled",0.210681705217596
1,"LaF_treat_missing",1100,"between",1.5377544572236
1,"LaF_treat_missing",1100,"r_labelled",1
1,"LaF_treat_missing",1100,"r_unlabelled",1
1,"LaF_treat_missing",1200,"labelled",0.184497341549016
1,"LaF_treat_missing",1200,"unlabelled",0.214800663517354
1,"LaF_treat_missing",1200,"between",1.55004742189133
1,"LaF_treat_missing",1200,"r_labelled",1
1,"LaF_treat_missing",1200,"r_unlabelled",1
1,"LaF_treat_missing",1300,"labelled",0.186584605782358
1,"LaF_treat_missing",1300,"unlabelled",0.218987199963729
1,"LaF_treat_missing",1300,"between",1.55803094845594
1,"LaF_treat_missing",1300,"r_labelled",1
1,"LaF_treat_missing",1300,"r_unlabelled",1
1,"LaF_treat_missing",1400,"labelled",0.189012937983698
1,"LaF_treat_missing",1400,"unlabelled",0.223289757790227
