subject,model,explo_overlap,trial,labelled,i_presentation,error
1,LaF,0.25,5,no_label,3,0.127879116889
1,LaF,0.25,5,no_label,4,0.109917983475
1,LaF,0.25,5,no_label,5,0.082105191068
1,LaF,0.25,5,no_label,6,0.0659669105427
1,LaF,0.25,5,no_label,7,0.0509629567897
1,LaF,0.25,5,no_label,8,0.0402560554179
1,LaF,0.25,5,no_label,9,0.0313923936383
1,LaF,0.25,5,no_label,10,0.0246825559793
1,LaF,0.25,5,no_label,11,0.0193065102364
1,LaF,0.25,5,no_label,12,0.0151587885339
1,LaF,0.25,5,no_label,13,0.0118720238976
1,LaF,0.25,5,no_label,14,0.009317231926
1,LaF,0.25,5,no_label,15,0.00730195615766
1,LaF,0.25,5,no_label,16,0.00572979437944
1,LaF,0.25,5,no_label,17,0.00449241069746
1,LaF,0.25,5,no_label,18,0.00352509961283
1,LaF,0.25,5,no_label,19,0.00276469563432
1,LaF,0.25,5,no_label,20,0.00216948495165
1,LaF,0.25,5,no_label,21,0.00170191190576
1,LaF,0.25,5,no_label,22,0.00133560017119
1,LaF,0.25,5,no_label,23,0.00104795193635
1,LaF,0.25,5,no_label,24,0.000822464665668
1,LaF,0.25,6,label,0,0.357477949193
1,LaF,0.25,6,label,1,0.145305698839
1,LaF,0.25,6,label,2,0.16556333387
1,LaF,0.25,6,label,3,0.110206063797
1,LaF,0.25,6,label,4,0.0941832943575
1,LaF,0.25,6,label,5,0.070965369805
1,LaF,0.25,6,label,6,0.0569427954088
1,LaF,0.25,6,label,7,0.0442469836393
1,LaF,0.25,6,label,8,0.0349736326438
1,LaF,0.25,6,label,9,0.0273946168171
1,LaF,0.25,6,label,10,0.0215718116292
1,LaF,0.25,6,label,11,0.0169370287137
1,LaF,0.25,6,label,12,0.0133241625588
1,LaF,0.25,6,label,13,0.0104705083007
1,LaF,0.25,6,label,14,0.00823523815477
1,LaF,0.25,6,label,15,0.00647421858414
1,LaF,0.25,6,label,16,0.00509209395233
1,LaF,0.25,6,label,17,0.00400425185386
1,LaF,0.25,6,label,18,0.00314964451873
1,LaF,0.25,6,label,19,0.00247724782813
1,LaF,0.25,6,label,20,0.00194872554561
1,LaF,0.25,6,label,21,0.00153293959759
1,LaF,0.25,6,label,22,0.00120600713069
1,LaF,0.25,6,label,23,0.000948812853489
1,LaF,0.25,6,no_label,0,0.306488719071
1,LaF,0.25,6,no_label,1,0.122369110599
1,LaF,0.25,6,no_label,2,0.141256391285
1,LaF,0.25,6,no_label,3,0.0929195414872
1,LaF,0.25,6,no_label,4,0.0797512068983
1,LaF,0.25,6,no_label,5,0.0596831690454
1,LaF,0.25,6,no_label,6,0.0479073673265
1,LaF,0.25,6,no_label,7,0.0370592596088
1,LaF,0.25,6,no_label,8,0.0292582133749
1,LaF,0.25,6,no_label,9,0.0228363440047
1,LaF,0.25,6,no_label,10,0.0179505270936
1,LaF,0.25,6,no_label,11,0.0140493871006
