subject,theory,explo_overlap,trial,labelled,looking_time
32,LaF,0,2,no_label,39
32,LaF,0,2,label,40
32,LaF,0,3,no_label,35
32,LaF,0,3,label,40
32,LaF,0,4,no_label,31
32,LaF,0,4,label,35
32,LaF,0,5,no_label,27
32,LaF,0,5,label,31
32,LaF,0,6,no_label,23
32,LaF,0,6,label,26
32,LaF,0,7,no_label,20
32,LaF,0,7,label,21
33,CR,0,0,no_label,40
33,CR,0,0,label,40
33,CR,0,1,no_label,34
33,CR,0,1,label,37
33,CR,0,2,no_label,31
33,CR,0,2,label,34
33,CR,0,3,no_label,28
33,CR,0,3,label,30
33,CR,0,4,no_label,25
33,CR,0,4,label,26
33,CR,0,5,no_label,22
33,CR,0,5,label,23
33,CR,0,6,no_label,19
33,CR,0,6,label,20
33,CR,0,7,no_label,16
33,CR,0,7,label,17
34,LaF,0,0,label,40
34,LaF,0,0,no_label,38
34,LaF,0,1,label,40
34,LaF,0,1,no_label,37
34,LaF,0,2,label,40
34,LaF,0,2,no_label,35
34,LaF,0,3,label,40
34,LaF,0,3,no_label,33
34,LaF,0,4,label,40
34,LaF,0,4,no_label,31
34,LaF,0,5,label,38
34,LaF,0,5,no_label,29
34,LaF,0,6,label,35
34,LaF,0,6,no_label,27
34,LaF,0,7,label,32
34,LaF,0,7,no_label,24
35,CR,0,0,label,40
35,CR,0,0,no_label,37
35,CR,0,1,label,40
35,CR,0,1,no_label,34
35,CR,0,2,label,38
35,CR,0,2,no_label,31
35,CR,0,3,label,34
35,CR,0,3,no_label,28
35,CR,0,4,label,30
35,CR,0,4,no_label,25
35,CR,0,5,label,27
35,CR,0,5,no_label,22
35,CR,0,6,label,24
35,CR,0,6,no_label,19
35,CR,0,7,label,20
35,CR,0,7,no_label,17
36,LaF,0,0,no_label,37
36,LaF,0,0,label,36
36,LaF,0,1,no_label,40
36,LaF,0,1,label,33
36,LaF,0,2,no_label,38
36,LaF,0,2,label,30
36,LaF,0,3,no_label,33
36,LaF,0,3,label,27
36,LaF,0,4,no_label,28
36,LaF,0,4,label,25
36,LaF,0,5,no_label,24
36,LaF,0,5,label,22
36,LaF,0,6,no_label,20
36,LaF,0,6,label,20
36,LaF,0,7,no_label,18
36,LaF,0,7,label,18
37,CR,0,0,no_label,40
37,CR,0,0,label,40
37,CR,0,1,no_label,35
37,CR,0,1,label,35
37,CR,0,2,no_label,33
37,CR,0,2,label,31
37,CR,0,3,no_label,30
37,CR,0,3,label,29
37,CR,0,4,no_label,28
37,CR,0,4,label,27
37,CR,0,5,no_label,26
37,CR,0,5,label,24
37,CR,0,6,no_label,24
37,CR,0,6,label,22
37,CR,0,7,no_label,22
37,CR,0,7,label,21
38,LaF,0,0,label,39
38,LaF,0,0,no_label,40
38,LaF,0,1,label,35
38,LaF,0,1,no_label,38
38,LaF,0,2,label,31
38,LaF,0,2,no_label,32
38,LaF,0,3,label,28
38,LaF,0,3,no_label,27
38,LaF,0,4,label,25
38,LaF,0,4,no_label,23
38,LaF,0,5,label,22
38,LaF,0,5,no_label,20
38,LaF,0,6,label,19
38,LaF,0,6,no_label,17
38,LaF,0,7,label,17
38,LaF,0,7,no_label,15
39,CR,0,0,label,40
39,CR,0,0,no_label,37
39,CR,0,1,label,39
39,CR,0,1,no_label,34
39,CR,0,2,label,32
39,CR,0,2,no_label,31
39,CR,0,3,label,29
39,CR,0,3,no_label,29
39,CR,0,4,label,27
39,CR,0,4,no_label,27
39,CR,0,5,label,25
39,CR,0,5,no_label,24
39,CR,0,6,label,22
39,CR,0,6,no_label,22
39,CR,0,7,label,21
39,CR,0,7,no_label,20
40,LaF,0,0,no_label,40
40,LaF,0,0,label,40
40,LaF,0,1,no_label,40
40,LaF,0,1,label,37
40,LaF,0,2,no_label,38
40,LaF,0,2,label,33
40,LaF,0,3,no_label,33
40,LaF,0,3,label,30
40,LaF,0,4,no_label,29
40,LaF,0,4,label,26
40,LaF,0,5,no_label,26
40,LaF,0,5,label,23
40,LaF,0,6,no_label,22
40,LaF,0,6,label,19
40,LaF,0,7,no_label,18
40,LaF,0,7,label,16
41,CR,0,0,no_label,40
41,CR,0,0,label,40
41,CR,0,1,no_label,40
41,CR,0,1,label,39
41,CR,0,2,no_label,40
41,CR,0,2,label,37
41,CR,0,3,no_label,40
41,CR,0,3,label,34
41,CR,0,4,no_label,39
41,CR,0,4,label,32
41,CR,0,5,no_label,37
41,CR,0,5,label,30
41,CR,0,6,no_label,34
41,CR,0,6,label,27
41,CR,0,7,no_label,31
41,CR,0,7,label,25
42,LaF,0,0,label,36
42,LaF,0,0,no_label,36
42,LaF,0,1,label,35
42,LaF,0,1,no_label,32
42,LaF,0,2,label,32
42,LaF,0,2,no_label,30
42,LaF,0,3,label,29
42,LaF,0,3,no_label,28
42,LaF,0,4,label,27
42,LaF,0,4,no_label,25
42,LaF,0,5,label,25
42,LaF,0,5,no_label,23
42,LaF,0,6,label,23
42,LaF,0,6,no_label,21
42,LaF,0,7,label,21
42,LaF,0,7,no_label,19
43,CR,0,0,label,40
43,CR,0,0,no_label,36
43,CR,0,1,label,40
43,CR,0,1,no_label,33
43,CR,0,2,label,40
43,CR,0,2,no_label,30
43,CR,0,3,label,36
43,CR,0,3,no_label,27
43,CR,0,4,label,32
43,CR,0,4,no_label,24
43,CR,0,5,label,28
43,CR,0,5,no_label,21
43,CR,0,6,label,25
43,CR,0,6,no_label,18
43,CR,0,7,label,21
43,CR,0,7,no_label,15
44,LaF,0,0,no_label,40
44,LaF,0,0,label,36
44,LaF,0,1,no_label,39
44,LaF,0,1,label,33
44,LaF,0,2,no_label,36
44,LaF,0,2,label,30
44,LaF,0,3,no_label,33
44,LaF,0,3,label,28
44,LaF,0,4,no_label,31
44,LaF,0,4,label,26
44,LaF,0,5,no_label,29
44,LaF,0,5,label,24
44,LaF,0,6,no_label,27
44,LaF,0,6,label,23
44,LaF,0,7,no_label,25
44,LaF,0,7,label,21
45,CR,0,0,no_label,40
45,CR,0,0,label,40
45,CR,0,1,no_label,40
45,CR,0,1,label,36
45,CR,0,2,no_label,40
45,CR,0,2,label,33
45,CR,0,3,no_label,37
45,CR,0,3,label,30
45,CR,0,4,no_label,33
45,CR,0,4,label,27
45,CR,0,5,no_label,30
45,CR,0,5,label,24
45,CR,0,6,no_label,26
45,CR,0,6,label,21
45,CR,0,7,no_label,23
45,CR,0,7,label,19
46,LaF,0,0,label,37
46,LaF,0,0,no_label,34
46,LaF,0,1,label,35
46,LaF,0,1,no_label,32
46,LaF,0,2,label,33
46,LaF,0,2,no_label,29
46,LaF,0,3,label,31
46,LaF,0,3,no_label,27
46,LaF,0,4,label,29
46,LaF,0,4,no_label,26
46,LaF,0,5,label,27
46,LaF,0,5,no_label,24
46,LaF,0,6,label,25
46,LaF,0,6,no_label,22
46,LaF,0,7,label,23
46,LaF,0,7,no_label,20
47,CR,0,0,label,35
47,CR,0,0,no_label,40
47,CR,0,1,label,35
47,CR,0,1,no_label,40
47,CR,0,2,label,32
47,CR,0,2,no_label,39
47,CR,0,3,label,30
47,CR,0,3,no_label,36
47,CR,0,4,label,27
47,CR,0,4,no_label,33
47,CR,0,5,label,25
47,CR,0,5,no_label,29
47,CR,0,6,label,23
47,CR,0,6,no_label,26
47,CR,0,7,label,20
47,CR,0,7,no_label,23
48,LaF,0,0,no_label,40
48,LaF,0,0,label,39
48,LaF,0,1,no_label,40
48,LaF,0,1,label,37
48,LaF,0,2,no_label,40
48,LaF,0,2,label,34
48,LaF,0,3,no_label,40
48,LaF,0,3,label,32
48,LaF,0,4,no_label,40
48,LaF,0,4,label,30
48,LaF,0,5,no_label,40
48,LaF,0,5,label,27
48,LaF,0,6,no_label,40
48,LaF,0,6,label,25
48,LaF,0,7,no_label,37
48,LaF,0,7,label,23
49,CR,0,0,no_label,40
49,CR,0,0,label,40
49,CR,0,1,no_label,40
49,CR,0,1,label,39
49,CR,0,2,no_label,37
49,CR,0,2,label,35
49,CR,0,3,no_label,33
49,CR,0,3,label,32
49,CR,0,4,no_label,30
49,CR,0,4,label,29
49,CR,0,5,no_label,27
49,CR,0,5,label,26
49,CR,0,6,no_label,24
49,CR,0,6,label,23
49,CR,0,7,no_label,22
49,CR,0,7,label,20
50,LaF,0,0,label,40
50,LaF,0,0,no_label,40
50,LaF,0,1,label,36
50,LaF,0,1,no_label,40
50,LaF,0,2,label,34
50,LaF,0,2,no_label,40
50,LaF,0,3,label,32
50,LaF,0,3,no_label,40
50,LaF,0,4,label,30
50,LaF,0,4,no_label,40
50,LaF,0,5,label,27
50,LaF,0,5,no_label,40
50,LaF,0,6,label,25
50,LaF,0,6,no_label,37
50,LaF,0,7,label,23
50,LaF,0,7,no_label,34
51,CR,0,0,label,40
51,CR,0,0,no_label,40
51,CR,0,1,label,40
51,CR,0,1,no_label,40
51,CR,0,2,label,39
51,CR,0,2,no_label,37
51,CR,0,3,label,36
51,CR,0,3,no_label,34
51,CR,0,4,label,33
51,CR,0,4,no_label,31
51,CR,0,5,label,30
51,CR,0,5,no_label,28
51,CR,0,6,label,27
51,CR,0,6,no_label,25
51,CR,0,7,label,24
51,CR,0,7,no_label,23
52,LaF,0,0,no_label,40
52,LaF,0,0,label,40
52,LaF,0,1,no_label,40
52,LaF,0,1,label,40
52,LaF,0,2,no_label,40
52,LaF,0,2,label,40
52,LaF,0,3,no_label,38
52,LaF,0,3,label,38
52,LaF,0,4,no_label,33
52,LaF,0,4,label,33
52,LaF,0,5,no_label,28
52,LaF,0,5,label,28
52,LaF,0,6,no_label,24
52,LaF,0,6,label,23
52,LaF,0,7,no_label,19
52,LaF,0,7,label,18
53,CR,0,0,no_label,40
53,CR,0,0,label,40
53,CR,0,1,no_label,40
53,CR,0,1,label,40
53,CR,0,2,no_label,39
53,CR,0,2,label,37
53,CR,0,3,no_label,36
53,CR,0,3,label,34
53,CR,0,4,no_label,33
53,CR,0,4,label,31
53,CR,0,5,no_label,30
53,CR,0,5,label,28
53,CR,0,6,no_label,27
53,CR,0,6,label,25
53,CR,0,7,no_label,24
53,CR,0,7,label,22
54,LaF,0,0,label,31
54,LaF,0,0,no_label,38
54,LaF,0,1,label,28
54,LaF,0,1,no_label,35
54,LaF,0,2,label,27
54,LaF,0,2,no_label,32
54,LaF,0,3,label,26
54,LaF,0,3,no_label,29
54,LaF,0,4,label,25
54,LaF,0,4,no_label,27
54,LaF,0,5,label,24
54,LaF,0,5,no_label,25
54,LaF,0,6,label,22
54,LaF,0,6,no_label,23
54,LaF,0,7,label,20
54,LaF,0,7,no_label,21
55,CR,0,0,label,40
55,CR,0,0,no_label,40
55,CR,0,1,label,40
55,CR,0,1,no_label,40
55,CR,0,2,label,40
55,CR,0,2,no_label,39
55,CR,0,3,label,39
55,CR,0,3,no_label,35
55,CR,0,4,label,34
55,CR,0,4,no_label,30
55,CR,0,5,label,29
55,CR,0,5,no_label,26
55,CR,0,6,label,25
55,CR,0,6,no_label,22
55,CR,0,7,label,20
55,CR,0,7,no_label,17
56,LaF,0,0,no_label,40
56,LaF,0,0,label,40
56,LaF,0,1,no_label,40
56,LaF,0,1,label,40
56,LaF,0,2,no_label,40
56,LaF,0,2,label,40
56,LaF,0,3,no_label,35
56,LaF,0,3,label,33
56,LaF,0,4,no_label,28
56,LaF,0,4,label,26
56,LaF,0,5,no_label,22
56,LaF,0,5,label,20
56,LaF,0,6,no_label,16
56,LaF,0,6,label,14
56,LaF,0,7,no_label,10
56,LaF,0,7,label,8
57,CR,0,0,no_label,35
57,CR,0,0,label,40
57,CR,0,1,no_label,38
57,CR,0,1,label,40
57,CR,0,2,no_label,36
57,CR,0,2,label,40
57,CR,0,3,no_label,33
57,CR,0,3,label,40
57,CR,0,4,no_label,31
57,CR,0,4,label,37
57,CR,0,5,no_label,29
57,CR,0,5,label,34
57,CR,0,6,no_label,26
57,CR,0,6,label,31
57,CR,0,7,no_label,24
57,CR,0,7,label,28
58,LaF,0,0,label,40
58,LaF,0,0,no_label,40
58,LaF,0,1,label,40
58,LaF,0,1,no_label,40
58,LaF,0,2,label,40
58,LaF,0,2,no_label,37
58,LaF,0,3,label,34
58,LaF,0,3,no_label,30
58,LaF,0,4,label,27
58,LaF,0,4,no_label,23
58,LaF,0,5,label,21
58,LaF,0,5,no_label,17
58,LaF,0,6,label,15
58,LaF,0,6,no_label,11
58,LaF,0,7,label,9
58,LaF,0,7,no_label,7
59,CR,0,0,label,33
59,CR,0,0,no_label,40
59,CR,0,1,label,32
59,CR,0,1,no_label,40
59,CR,0,2,label,30
59,CR,0,2,no_label,40
59,CR,0,3,label,28
59,CR,0,3,no_label,39
59,CR,0,4,label,25
59,CR,0,4,no_label,36
59,CR,0,5,label,23
59,CR,0,5,no_label,32
59,CR,0,6,label,21
59,CR,0,6,no_label,29
59,CR,0,7,label,19
59,CR,0,7,no_label,25
