subject,model,explo_overlap,trial,labelled,looking_time
24,LaF,0.5,2,no_label,54
24,LaF,0.5,2,label,51
24,LaF,0.5,3,no_label,60
24,LaF,0.5,3,label,60
24,LaF,0.5,4,no_label,63
24,LaF,0.5,4,label,64
24,LaF,0.5,5,no_label,62
24,LaF,0.5,5,label,64
24,LaF,0.5,6,no_label,59
24,LaF,0.5,6,label,60
24,LaF,0.5,7,no_label,54
24,LaF,0.5,7,label,55
25,LaF,0.625,0,label,61
25,LaF,0.625,0,no_label,71
25,LaF,0.625,1,label,51
25,LaF,0.625,1,no_label,66
25,LaF,0.625,2,label,52
25,LaF,0.625,2,no_label,76
25,LaF,0.625,3,label,53
25,LaF,0.625,3,no_label,87
25,LaF,0.625,4,label,53
25,LaF,0.625,4,no_label,92
25,LaF,0.625,5,label,51
25,LaF,0.625,5,no_label,91
25,LaF,0.625,6,label,48
25,LaF,0.625,6,no_label,86
25,LaF,0.625,7,label,43
25,LaF,0.625,7,no_label,79
26,LaF,0.625,0,no_label,60
26,LaF,0.625,0,label,49
26,LaF,0.625,1,no_label,47
26,LaF,0.625,1,label,53
26,LaF,0.625,2,no_label,52
26,LaF,0.625,2,label,62
26,LaF,0.625,3,no_label,55
26,LaF,0.625,3,label,68
26,LaF,0.625,4,no_label,56
26,LaF,0.625,4,label,68
26,LaF,0.625,5,no_label,54
26,LaF,0.625,5,label,65
26,LaF,0.625,6,no_label,51
26,LaF,0.625,6,label,60
26,LaF,0.625,7,no_label,46
26,LaF,0.625,7,label,54
27,LaF,0.625,0,label,53
27,LaF,0.625,0,no_label,40
27,LaF,0.625,1,label,42
27,LaF,0.625,1,no_label,43
27,LaF,0.625,2,label,50
27,LaF,0.625,2,no_label,49
27,LaF,0.625,3,label,57
27,LaF,0.625,3,no_label,53
27,LaF,0.625,4,label,60
27,LaF,0.625,4,no_label,52
27,LaF,0.625,5,label,59
27,LaF,0.625,5,no_label,49
27,LaF,0.625,6,label,55
27,LaF,0.625,6,no_label,45
27,LaF,0.625,7,label,50
27,LaF,0.625,7,no_label,40
28,LaF,0.625,0,no_label,47
28,LaF,0.625,0,label,38
28,LaF,0.625,1,no_label,40
28,LaF,0.625,1,label,42
28,LaF,0.625,2,no_label,44
28,LaF,0.625,2,label,49
28,LaF,0.625,3,no_label,45
28,LaF,0.625,3,label,52
28,LaF,0.625,4,no_label,43
28,LaF,0.625,4,label,51
28,LaF,0.625,5,no_label,40
28,LaF,0.625,5,label,47
28,LaF,0.625,6,no_label,36
28,LaF,0.625,6,label,43
28,LaF,0.625,7,no_label,32
28,LaF,0.625,7,label,37
29,LaF,0.625,0,label,100
29,LaF,0.625,0,no_label,55
29,LaF,0.625,1,label,79
29,LaF,0.625,1,no_label,51
29,LaF,0.625,2,label,84
29,LaF,0.625,2,no_label,54
29,LaF,0.625,3,label,94
29,LaF,0.625,3,no_label,56
29,LaF,0.625,4,label,100
29,LaF,0.625,4,no_label,56
29,LaF,0.625,5,label,100
29,LaF,0.625,5,no_label,54
29,LaF,0.625,6,label,98
29,LaF,0.625,6,no_label,50
29,LaF,0.625,7,label,91
29,LaF,0.625,7,no_label,46
30,LaF,0.625,0,no_label,56
30,LaF,0.625,0,label,57
30,LaF,0.625,1,no_label,51
30,LaF,0.625,1,label,61
30,LaF,0.625,2,no_label,59
30,LaF,0.625,2,label,72
30,LaF,0.625,3,no_label,67
30,LaF,0.625,3,label,82
30,LaF,0.625,4,no_label,71
30,LaF,0.625,4,label,86
30,LaF,0.625,5,no_label,70
30,LaF,0.625,5,label,84
30,LaF,0.625,6,no_label,67
30,LaF,0.625,6,label,79
30,LaF,0.625,7,no_label,61
30,LaF,0.625,7,label,72
31,LaF,0.625,0,label,50
31,LaF,0.625,0,no_label,38
31,LaF,0.625,1,label,42
31,LaF,0.625,1,no_label,40
31,LaF,0.625,2,label,49
31,LaF,0.625,2,no_label,47
31,LaF,0.625,3,label,54
31,LaF,0.625,3,no_label,52
31,LaF,0.625,4,label,56
31,LaF,0.625,4,no_label,53
31,LaF,0.625,5,label,54
31,LaF,0.625,5,no_label,50
31,LaF,0.625,6,label,51
31,LaF,0.625,6,no_label,46
31,LaF,0.625,7,label,46
31,LaF,0.625,7,no_label,42
32,LaF,0.625,0,no_label,66
32,LaF,0.625,0,label,87
32,LaF,0.625,1,no_label,56
32,LaF,0.625,1,label,81
32,LaF,0.625,2,no_label,65
32,LaF,0.625,2,label,93
32,LaF,0.625,3,no_label,73
32,LaF,0.625,3,label,100
32,LaF,0.625,4,no_label,77
32,LaF,0.625,4,label,100
32,LaF,0.625,5,no_label,76
32,LaF,0.625,5,label,100
32,LaF,0.625,6,no_label,71
32,LaF,0.625,6,label,100
32,LaF,0.625,7,no_label,64
32,LaF,0.625,7,label,92
33,LaF,0.75,0,label,61
33,LaF,0.75,0,no_label,71
33,LaF,0.75,1,label,51
33,LaF,0.75,1,no_label,66
33,LaF,0.75,2,label,52
33,LaF,0.75,2,no_label,76
33,LaF,0.75,3,label,53
33,LaF,0.75,3,no_label,87
33,LaF,0.75,4,label,53
33,LaF,0.75,4,no_label,92
33,LaF,0.75,5,label,51
33,LaF,0.75,5,no_label,91
33,LaF,0.75,6,label,48
33,LaF,0.75,6,no_label,86
33,LaF,0.75,7,label,43
33,LaF,0.75,7,no_label,79
34,LaF,0.75,0,no_label,60
34,LaF,0.75,0,label,49
34,LaF,0.75,1,no_label,47
34,LaF,0.75,1,label,53
34,LaF,0.75,2,no_label,52
34,LaF,0.75,2,label,62
34,LaF,0.75,3,no_label,55
34,LaF,0.75,3,label,68
34,LaF,0.75,4,no_label,56
34,LaF,0.75,4,label,68
34,LaF,0.75,5,no_label,54
34,LaF,0.75,5,label,65
34,LaF,0.75,6,no_label,51
34,LaF,0.75,6,label,60
34,LaF,0.75,7,no_label,46
34,LaF,0.75,7,label,54
35,LaF,0.75,0,label,53
35,LaF,0.75,0,no_label,40
35,LaF,0.75,1,label,42
35,LaF,0.75,1,no_label,43
35,LaF,0.75,2,label,50
