subject,model,explo_overlap,trial,labelled,i_presentation,error
1,LaF,0.25,6,no_label,0,0.121153727299
1,LaF,0.25,6,no_label,1,0.0338695372849
1,LaF,0.25,6,no_label,2,0.0527882649311
1,LaF,0.25,6,no_label,3,0.0274458357695
1,LaF,0.25,6,no_label,4,0.0267816682845
1,LaF,0.25,6,no_label,5,0.0175763778772
1,LaF,0.25,6,no_label,6,0.0146757947215
1,LaF,0.25,6,no_label,7,0.01054808341
1,LaF,0.25,6,no_label,8,0.00831836339742
1,LaF,0.25,7,label,0,0.0935719411125
1,LaF,0.25,7,label,1,0.0245198540193
1,LaF,0.25,7,label,2,0.0405850439821
1,LaF,0.25,7,label,3,0.0202387687763
1,LaF,0.25,7,label,4,0.0203584946558
1,LaF,0.25,7,label,5,0.0130310083834
1,LaF,0.25,7,label,6,0.0110413849254
1,LaF,0.25,7,label,7,0.00782541583999
1,LaF,0.25,7,no_label,0,0.0718212421804
1,LaF,0.25,7,no_label,1,0.0194025477938
1,LaF,0.25,7,no_label,2,0.0310807644116
1,LaF,0.25,7,no_label,3,0.0160063189988
1,LaF,0.25,7,no_label,4,0.0157338283469
1,LaF,0.25,7,no_label,5,0.0103014376823
1,LaF,0.25,7,no_label,6,0.00862559806843
2,LaF,0.25,0,no_label,0,3.07817660164
2,LaF,0.25,0,no_label,1,1.16649062806
2,LaF,0.25,0,no_label,2,1.40111083896
2,LaF,0.25,0,no_label,3,0.882930140495
2,LaF,0.25,0,no_label,4,0.763271102736
2,LaF,0.25,0,no_label,5,0.555219405095
2,LaF,0.25,0,no_label,6,0.441162211925
2,LaF,0.25,0,no_label,7,0.333602736217
2,LaF,0.25,0,no_label,8,0.258806628646
2,LaF,0.25,0,no_label,9,0.197772552823
2,LaF,0.25,0,no_label,10,0.152300620107
2,LaF,0.25,0,no_label,11,0.116719933118
2,LaF,0.25,0,no_label,12,0.0896663309596
2,LaF,0.25,0,no_label,13,0.0687753808434
2,LaF,0.25,0,no_label,14,0.0527933941364
2,LaF,0.25,0,no_label,15,0.0405056099601
2,LaF,0.25,0,no_label,16,0.0310873104751
2,LaF,0.25,0,no_label,17,0.0238563824881
2,LaF,0.25,0,no_label,18,0.0183103904918
2,LaF,0.25,0,no_label,19,0.0140541633129
2,LaF,0.25,0,no_label,20,0.0107886864244
2,LaF,0.25,0,no_label,21,0.00828267450187
2,LaF,0.25,0,label,0,2.94879379221
2,LaF,0.25,0,label,1,1.28980279799
2,LaF,0.25,0,label,2,1.39844308268
2,LaF,0.25,0,label,3,0.963712571388
2,LaF,0.25,0,label,4,0.807907411767
2,LaF,0.25,0,label,5,0.615719121219
2,LaF,0.25,0,label,6,0.489112115423
2,LaF,0.25,0,label,7,0.38023846545
2,LaF,0.25,0,label,8,0.298199383046
2,LaF,0.25,0,label,9,0.232606221376
2,LaF,0.25,0,label,10,0.181765170076
2,LaF,0.25,0,label,11,0.141826612939
2,LaF,0.25,0,label,12,0.110699932364
2,LaF,0.25,0,label,13,0.0863681932484
2,LaF,0.25,0,label,14,0.0673894400655
2,LaF,0.25,0,label,15,0.0525765881601
2,LaF,0.25,0,label,16,0.0410223910141
2,LaF,0.25,0,label,17,0.0320086514319
2,LaF,0.25,0,label,18,0.0249778188959
2,LaF,0.25,0,label,19,0.0194932336009
2,LaF,0.25,0,label,20,0.0152147427544
2,LaF,0.25,0,label,21,0.0118767935817
2,LaF,0.25,0,label,22,0.00927238679899
2,LaF,0.25,1,no_label,0,2.71451840945
2,LaF,0.25,1,no_label,1,0.925978215935
2,LaF,0.25,1,no_label,2,1.22733863177
2,LaF,0.25,1,no_label,3,0.735696653538
2,LaF,0.25,1,no_label,4,0.659992727323
2,LaF,0.25,1,no_label,5,0.474063300576
2,LaF,0.25,1,no_label,6,0.382389233025
2,LaF,0.25,1,no_label,7,0.289709954015
2,LaF,0.25,1,no_label,8,0.226798968213
2,LaF,0.25,1,no_label,9,0.174422074566
2,LaF,0.25,1,no_label,10,0.135382409248
2,LaF,0.25,1,no_label,11,0.104547836189
2,LaF,0.25,1,no_label,12,0.0809458604874
2,LaF,0.25,1,no_label,13,0.0625805554834
2,LaF,0.25,1,no_label,14,0.0484178086513
2,LaF,0.25,1,no_label,15,0.0374448161572
2,LaF,0.25,1,no_label,16,0.0289651203224
2,LaF,0.25,1,no_label,17,0.0224034341835
2,LaF,0.25,1,no_label,18,0.0173296664872
2,LaF,0.25,1,no_label,19,0.013404869213
2,LaF,0.25,1,no_label,20,0.010369449789
2,LaF,0.25,1,no_label,21,0.00802155841317
2,LaF,0.25,1,label,0,2.24604096782
2,LaF,0.25,1,label,1,0.927843934655
2,LaF,0.25,1,label,2,1.03881596372
