"subject","theory","model","explo_overlap","trial","labelled","looking_time","experiment","fit"
657,"Labels as Features","DMN","0",6,"label",23,"Category",27.2515611461942
657,"Labels as Features","DMN","0",7,"no_label",24,"Category",22.1545277054349
657,"Labels as Features","DMN","0",7,"label",21,"Category",24.7510556438411
659,"Compound Representations","DMN","0",0,"no_label",40,"Category",42.0332080726391
659,"Compound Representations","DMN","0",0,"label",40,"Category",42.0332080726391
659,"Compound Representations","DMN","0",1,"no_label",40,"Category",39.2936637767015
659,"Compound Representations","DMN","0",1,"label",40,"Category",39.5327025702861
659,"Compound Representations","DMN","0",2,"no_label",40,"Category",36.5541194807638
659,"Compound Representations","DMN","0",2,"label",40,"Category",37.032197067933
659,"Compound Representations","DMN","0",3,"no_label",40,"Category",33.8145751848261
659,"Compound Representations","DMN","0",3,"label",40,"Category",34.53169156558
659,"Compound Representations","DMN","0",4,"no_label",39,"Category",31.0750308888885
659,"Compound Representations","DMN","0",4,"label",40,"Category",32.0311860632269
659,"Compound Representations","DMN","0",5,"no_label",34,"Category",28.3354865929508
659,"Compound Representations","DMN","0",5,"label",35,"Category",29.5306805608739
659,"Compound Representations","DMN","0",6,"no_label",29,"Category",25.5959422970131
659,"Compound Representations","DMN","0",6,"label",29,"Category",27.0301750585208
659,"Compound Representations","DMN","0",7,"no_label",24,"Category",22.8563980010755
659,"Compound Representations","DMN","0",7,"label",23,"Category",24.5296695561678
661,"Labels as Features","DMN","0",0,"label",40,"Category",42.2545941603125
661,"Labels as Features","DMN","0",0,"no_label",40,"Category",41.3313377769986
661,"Labels as Features","DMN","0",1,"label",40,"Category",39.7540886579594
661,"Labels as Features","DMN","0",1,"no_label",40,"Category",38.5917934810609
661,"Labels as Features","DMN","0",2,"label",40,"Category",37.2535831556064
661,"Labels as Features","DMN","0",2,"no_label",36,"Category",35.8522491851233
661,"Labels as Features","DMN","0",3,"label",39,"Category",34.7530776532533
661,"Labels as Features","DMN","0",3,"no_label",33,"Category",33.1127048891856
661,"Labels as Features","DMN","0",4,"label",35,"Category",32.2525721509003
661,"Labels as Features","DMN","0",4,"no_label",29,"Category",30.3731605932479
661,"Labels as Features","DMN","0",5,"label",30,"Category",29.7520666485472
661,"Labels as Features","DMN","0",5,"no_label",25,"Category",27.6336162973103
661,"Labels as Features","DMN","0",6,"label",26,"Category",27.2515611461942
661,"Labels as Features","DMN","0",6,"no_label",21,"Category",24.8940720013726
661,"Labels as Features","DMN","0",7,"label",22,"Category",24.7510556438411
661,"Labels as Features","DMN","0",7,"no_label",17,"Category",22.1545277054349
663,"Compound Representations","DMN","0",0,"label",40,"Category",42.0332080726391
663,"Compound Representations","DMN","0",0,"no_label",40,"Category",42.0332080726391
663,"Compound Representations","DMN","0",1,"label",30,"Category",39.5327025702861
663,"Compound Representations","DMN","0",1,"no_label",36,"Category",39.2936637767015
663,"Compound Representations","DMN","0",2,"label",28,"Category",37.032197067933
663,"Compound Representations","DMN","0",2,"no_label",32,"Category",36.5541194807638
663,"Compound Representations","DMN","0",3,"label",25,"Category",34.53169156558
663,"Compound Representations","DMN","0",3,"no_label",28,"Category",33.8145751848261
663,"Compound Representations","DMN","0",4,"label",22,"Category",32.0311860632269
663,"Compound Representations","DMN","0",4,"no_label",24,"Category",31.0750308888885
663,"Compound Representations","DMN","0",5,"label",20,"Category",29.5306805608739
663,"Compound Representations","DMN","0",5,"no_label",21,"Category",28.3354865929508
663,"Compound Representations","DMN","0",6,"label",17,"Category",27.0301750585208
663,"Compound Representations","DMN","0",6,"no_label",17,"Category",25.5959422970131
663,"Compound Representations","DMN","0",7,"label",14,"Category",24.5296695561678
663,"Compound Representations","DMN","0",7,"no_label",14,"Category",22.8563980010755
665,"Labels as Features","DMN","0",0,"no_label",40,"Category",41.3313377769986
665,"Labels as Features","DMN","0",0,"label",40,"Category",42.2545941603125
665,"Labels as Features","DMN","0",1,"no_label",40,"Category",38.5917934810609
665,"Labels as Features","DMN","0",1,"label",40,"Category",39.7540886579594
665,"Labels as Features","DMN","0",2,"no_label",40,"Category",35.8522491851233
665,"Labels as Features","DMN","0",2,"label",40,"Category",37.2535831556064
665,"Labels as Features","DMN","0",3,"no_label",39,"Category",33.1127048891856
665,"Labels as Features","DMN","0",3,"label",37,"Category",34.7530776532533
665,"Labels as Features","DMN","0",4,"no_label",34,"Category",30.3731605932479
665,"Labels as Features","DMN","0",4,"label",32,"Category",32.2525721509003
665,"Labels as Features","DMN","0",5,"no_label",29,"Category",27.6336162973103
665,"Labels as Features","DMN","0",5,"label",27,"Category",29.7520666485472
665,"Labels as Features","DMN","0",6,"no_label",25,"Category",24.8940720013726
665,"Labels as Features","DMN","0",6,"label",22,"Category",27.2515611461942
665,"Labels as Features","DMN","0",7,"no_label",20,"Category",22.1545277054349
665,"Labels as Features","DMN","0",7,"label",18,"Category",24.7510556438411
667,"Compound Representations","DMN","0",0,"no_label",40,"Category",42.0332080726391
667,"Compound Representations","DMN","0",0,"label",40,"Category",42.0332080726391
667,"Compound Representations","DMN","0",1,"no_label",40,"Category",39.2936637767015
667,"Compound Representations","DMN","0",1,"label",40,"Category",39.5327025702861
667,"Compound Representations","DMN","0",2,"no_label",39,"Category",36.5541194807638
667,"Compound Representations","DMN","0",2,"label",40,"Category",37.032197067933
667,"Compound Representations","DMN","0",3,"no_label",35,"Category",33.8145751848261
667,"Compound Representations","DMN","0",3,"label",37,"Category",34.53169156558
667,"Compound Representations","DMN","0",4,"no_label",31,"Category",31.0750308888885
667,"Compound Representations","DMN","0",4,"label",33,"Category",32.0311860632269
667,"Compound Representations","DMN","0",5,"no_label",28,"Category",28.3354865929508
667,"Compound Representations","DMN","0",5,"label",28,"Category",29.5306805608739
667,"Compound Representations","DMN","0",6,"no_label",24,"Category",25.5959422970131
667,"Compound Representations","DMN","0",6,"label",24,"Category",27.0301750585208
667,"Compound Representations","DMN","0",7,"no_label",20,"Category",22.8563980010755
667,"Compound Representations","DMN","0",7,"label",20,"Category",24.5296695561678
669,"Labels as Features","DMN","0",0,"label",40,"Category",42.2545941603125
669,"Labels as Features","DMN","0",0,"no_label",40,"Category",41.3313377769986
669,"Labels as Features","DMN","0",1,"label",40,"Category",39.7540886579594
669,"Labels as Features","DMN","0",1,"no_label",40,"Category",38.5917934810609
669,"Labels as Features","DMN","0",2,"label",40,"Category",37.2535831556064
669,"Labels as Features","DMN","0",2,"no_label",40,"Category",35.8522491851233
669,"Labels as Features","DMN","0",3,"label",40,"Category",34.7530776532533
669,"Labels as Features","DMN","0",3,"no_label",40,"Category",33.1127048891856
669,"Labels as Features","DMN","0",4,"label",40,"Category",32.2525721509003
669,"Labels as Features","DMN","0",4,"no_label",40,"Category",30.3731605932479
669,"Labels as Features","DMN","0",5,"label",40,"Category",29.7520666485472
669,"Labels as Features","DMN","0",5,"no_label",37,"Category",27.6336162973103
669,"Labels as Features","DMN","0",6,"label",38,"Category",27.2515611461942
669,"Labels as Features","DMN","0",6,"no_label",34,"Category",24.8940720013726
669,"Labels as Features","DMN","0",7,"label",35,"Category",24.7510556438411
669,"Labels as Features","DMN","0",7,"no_label",31,"Category",22.1545277054349
671,"Compound Representations","DMN","0",0,"label",40,"Category",42.0332080726391
671,"Compound Representations","DMN","0",0,"no_label",40,"Category",42.0332080726391
671,"Compound Representations","DMN","0",1,"label",39,"Category",39.5327025702861
671,"Compound Representations","DMN","0",1,"no_label",40,"Category",39.2936637767015
671,"Compound Representations","DMN","0",2,"label",36,"Category",37.032197067933
671,"Compound Representations","DMN","0",2,"no_label",40,"Category",36.5541194807638
671,"Compound Representations","DMN","0",3,"label",33,"Category",34.53169156558
671,"Compound Representations","DMN","0",3,"no_label",37,"Category",33.8145751848261
