subject,theory,model,explo_overlap,trial,labelled,i_presentation,error
0,LaF,BPN,0,0,no_label,88,NA
0,LaF,BPN,0,0,no_label,89,NA
0,LaF,BPN,0,0,no_label,90,NA
0,LaF,BPN,0,0,no_label,91,NA
0,LaF,BPN,0,0,no_label,92,NA
0,LaF,BPN,0,0,no_label,93,NA
0,LaF,BPN,0,0,no_label,94,NA
0,LaF,BPN,0,0,no_label,95,NA
0,LaF,BPN,0,0,no_label,96,NA
0,LaF,BPN,0,0,no_label,97,NA
0,LaF,BPN,0,0,no_label,98,NA
0,LaF,BPN,0,0,no_label,99,NA
0,LaF,BPN,0,0,label,0,1.87778925847
0,LaF,BPN,0,0,label,1,0.730101272804
0,LaF,BPN,0,0,label,2,0.882951610556
0,LaF,BPN,0,0,label,3,0.556211060151
0,LaF,BPN,0,0,label,4,0.498137560312
0,LaF,BPN,0,0,label,5,0.363213563277
0,LaF,BPN,0,0,label,6,0.300156936786
0,LaF,BPN,0,0,label,7,0.229971088594
0,LaF,BPN,0,0,label,8,0.185239108862
0,LaF,BPN,0,0,label,9,0.14469503119
0,LaF,BPN,0,0,label,10,0.115524555429
0,LaF,BPN,0,0,label,11,0.0910343054706
0,LaF,BPN,0,0,label,12,0.0724721149531
0,LaF,BPN,0,0,label,13,0.0573708569803
0,LaF,BPN,0,0,label,14,0.0456460390228
0,LaF,BPN,0,0,label,15,0.0362330900389
0,LaF,BPN,0,0,label,16,0.0288375169898
0,LaF,BPN,0,0,label,17,0.022932219205
0,LaF,BPN,0,0,label,18,0.0182634623507
0,LaF,BPN,0,0,label,19,0.014542636525
0,LaF,BPN,0,0,label,20,0.0115904725524
0,LaF,BPN,0,0,label,21,0.00923857181074
0,LaF,BPN,0,0,label,22,0.00736842974585
0,LaF,BPN,0,0,label,23,0.00587811010663
0,LaF,BPN,0,0,label,24,0.00469130381985
0,LaF,BPN,0,0,label,25,0.00374502477703
0,LaF,BPN,0,0,label,26,0.00299064461069
0,LaF,BPN,0,0,label,27,0.0023887896037
0,LaF,BPN,0,0,label,28,0.00190858349639
0,LaF,BPN,0,0,label,29,0.00152524350094
0,LaF,BPN,0,0,label,30,NA
0,LaF,BPN,0,0,label,31,NA
0,LaF,BPN,0,0,label,32,NA
0,LaF,BPN,0,0,label,33,NA
0,LaF,BPN,0,0,label,34,NA
0,LaF,BPN,0,0,label,35,NA
0,LaF,BPN,0,0,label,36,NA
0,LaF,BPN,0,0,label,37,NA
0,LaF,BPN,0,0,label,38,NA
0,LaF,BPN,0,0,label,39,NA
0,LaF,BPN,0,0,label,40,NA
0,LaF,BPN,0,0,label,41,NA
0,LaF,BPN,0,0,label,42,NA
0,LaF,BPN,0,0,label,43,NA
0,LaF,BPN,0,0,label,44,NA
0,LaF,BPN,0,0,label,45,NA
0,LaF,BPN,0,0,label,46,NA
0,LaF,BPN,0,0,label,47,NA
0,LaF,BPN,0,0,label,48,NA
0,LaF,BPN,0,0,label,49,NA
0,LaF,BPN,0,0,label,50,NA
0,LaF,BPN,0,0,label,51,NA
0,LaF,BPN,0,0,label,52,NA
0,LaF,BPN,0,0,label,53,NA
0,LaF,BPN,0,0,label,54,NA
0,LaF,BPN,0,0,label,55,NA
0,LaF,BPN,0,0,label,56,NA
0,LaF,BPN,0,0,label,57,NA
0,LaF,BPN,0,0,label,58,NA
0,LaF,BPN,0,0,label,59,NA
0,LaF,BPN,0,0,label,60,NA
0,LaF,BPN,0,0,label,61,NA
0,LaF,BPN,0,0,label,62,NA
0,LaF,BPN,0,0,label,63,NA
0,LaF,BPN,0,0,label,64,NA
0,LaF,BPN,0,0,label,65,NA
0,LaF,BPN,0,0,label,66,NA
0,LaF,BPN,0,0,label,67,NA
0,LaF,BPN,0,0,label,68,NA
0,LaF,BPN,0,0,label,69,NA
0,LaF,BPN,0,0,label,70,NA
0,LaF,BPN,0,0,label,71,NA
0,LaF,BPN,0,0,label,72,NA
0,LaF,BPN,0,0,label,73,NA
0,LaF,BPN,0,0,label,74,NA
0,LaF,BPN,0,0,label,75,NA
0,LaF,BPN,0,0,label,76,NA
0,LaF,BPN,0,0,label,77,NA
0,LaF,BPN,0,0,label,78,NA
0,LaF,BPN,0,0,label,79,NA
0,LaF,BPN,0,0,label,80,NA
0,LaF,BPN,0,0,label,81,NA
0,LaF,BPN,0,0,label,82,NA
0,LaF,BPN,0,0,label,83,NA
0,LaF,BPN,0,0,label,84,NA
0,LaF,BPN,0,0,label,85,NA
0,LaF,BPN,0,0,label,86,NA
0,LaF,BPN,0,0,label,87,NA
0,LaF,BPN,0,0,label,88,NA
0,LaF,BPN,0,0,label,89,NA
0,LaF,BPN,0,0,label,90,NA
0,LaF,BPN,0,0,label,91,NA
0,LaF,BPN,0,0,label,92,NA
0,LaF,BPN,0,0,label,93,NA
0,LaF,BPN,0,0,label,94,NA
0,LaF,BPN,0,0,label,95,NA
0,LaF,BPN,0,0,label,96,NA
0,LaF,BPN,0,0,label,97,NA
0,LaF,BPN,0,0,label,98,NA
0,LaF,BPN,0,0,label,99,NA
0,LaF,BPN,0,1,no_label,0,1.52207673502
0,LaF,BPN,0,1,no_label,1,0.599340516046
0,LaF,BPN,0,1,no_label,2,0.707359757614
0,LaF,BPN,0,1,no_label,3,0.459230451875
0,LaF,BPN,0,1,no_label,4,0.399915821615
0,LaF,BPN,0,1,no_label,5,0.298318674861
0,LaF,BPN,0,1,no_label,6,0.241529020905
0,LaF,BPN,0,1,no_label,7,0.18727816468
0,LaF,BPN,0,1,no_label,8,0.148775170995
0,LaF,BPN,0,1,no_label,9,0.116699381217
0,LaF,BPN,0,1,no_label,10,0.0922529375649
0,LaF,BPN,0,1,no_label,11,0.0726544400368
0,LaF,BPN,0,1,no_label,12,0.0573782169961
0,LaF,BPN,0,1,no_label,13,0.0452684363517
0,LaF,BPN,0,1,no_label,14,0.035755679617
0,LaF,BPN,0,1,no_label,15,0.0282381414953
0,LaF,BPN,0,1,no_label,16,0.0223143873602
0,LaF,BPN,0,1,no_label,17,0.0176357034826
0,LaF,BPN,0,1,no_label,18,0.0139432990261
0,LaF,BPN,0,1,no_label,19,0.0110262717306
0,LaF,BPN,0,1,no_label,20,0.00872199159293
0,LaF,BPN,0,1,no_label,21,0.00690074397785
0,LaF,BPN,0,1,no_label,22,0.00546107000457
0,LaF,BPN,0,1,no_label,23,0.00432261634619
0,LaF,BPN,0,1,no_label,24,0.003422177549
0,LaF,BPN,0,1,no_label,25,0.00270979870784
0,LaF,BPN,0,1,no_label,26,0.00214608687468
0,LaF,BPN,0,1,no_label,27,0.00169991703622
0,LaF,BPN,0,1,no_label,28,0.00134671237087
0,LaF,BPN,0,1,no_label,29,0.00106704900278
0,LaF,BPN,0,1,no_label,30,NA
0,LaF,BPN,0,1,no_label,31,NA
0,LaF,BPN,0,1,no_label,32,NA
0,LaF,BPN,0,1,no_label,33,NA
0,LaF,BPN,0,1,no_label,34,NA
0,LaF,BPN,0,1,no_label,35,NA
0,LaF,BPN,0,1,no_label,36,NA
0,LaF,BPN,0,1,no_label,37,NA
0,LaF,BPN,0,1,no_label,38,NA
0,LaF,BPN,0,1,no_label,39,NA
0,LaF,BPN,0,1,no_label,40,NA
0,LaF,BPN,0,1,no_label,41,NA
0,LaF,BPN,0,1,no_label,42,NA
0,LaF,BPN,0,1,no_label,43,NA
0,LaF,BPN,0,1,no_label,44,NA
0,LaF,BPN,0,1,no_label,45,NA
0,LaF,BPN,0,1,no_label,46,NA
0,LaF,BPN,0,1,no_label,47,NA
0,LaF,BPN,0,1,no_label,48,NA
0,LaF,BPN,0,1,no_label,49,NA
0,LaF,BPN,0,1,no_label,50,NA
0,LaF,BPN,0,1,no_label,51,NA
0,LaF,BPN,0,1,no_label,52,NA
0,LaF,BPN,0,1,no_label,53,NA
0,LaF,BPN,0,1,no_label,54,NA
0,LaF,BPN,0,1,no_label,55,NA
0,LaF,BPN,0,1,no_label,56,NA
0,LaF,BPN,0,1,no_label,57,NA
0,LaF,BPN,0,1,no_label,58,NA
0,LaF,BPN,0,1,no_label,59,NA
0,LaF,BPN,0,1,no_label,60,NA
0,LaF,BPN,0,1,no_label,61,NA
0,LaF,BPN,0,1,no_label,62,NA
0,LaF,BPN,0,1,no_label,63,NA
0,LaF,BPN,0,1,no_label,64,NA
0,LaF,BPN,0,1,no_label,65,NA
0,LaF,BPN,0,1,no_label,66,NA
0,LaF,BPN,0,1,no_label,67,NA
0,LaF,BPN,0,1,no_label,68,NA
0,LaF,BPN,0,1,no_label,69,NA
0,LaF,BPN,0,1,no_label,70,NA
0,LaF,BPN,0,1,no_label,71,NA
0,LaF,BPN,0,1,no_label,72,NA
0,LaF,BPN,0,1,no_label,73,NA
0,LaF,BPN,0,1,no_label,74,NA
0,LaF,BPN,0,1,no_label,75,NA
0,LaF,BPN,0,1,no_label,76,NA
0,LaF,BPN,0,1,no_label,77,NA
0,LaF,BPN,0,1,no_label,78,NA
0,LaF,BPN,0,1,no_label,79,NA
0,LaF,BPN,0,1,no_label,80,NA
0,LaF,BPN,0,1,no_label,81,NA
0,LaF,BPN,0,1,no_label,82,NA
0,LaF,BPN,0,1,no_label,83,NA
0,LaF,BPN,0,1,no_label,84,NA
0,LaF,BPN,0,1,no_label,85,NA
0,LaF,BPN,0,1,no_label,86,NA
0,LaF,BPN,0,1,no_label,87,NA
